energy_N,entropy_N,kurtosis_N,maximum_N,mean_N,meanAbsoluteDeviation_N,median_N,minimum_N,range_N,rootMeanSquare_N,skewness_N,standardDeviation_N,uniformity_N,variance_N,energy_P,entropy_P,kurtosis_P,maximum_P,mean_P,meanAbsoluteDeviation_P,median_P,minimum_P,range_P,rootMeanSquare_P,skewness_P,standardDeviation_P,uniformity_P,variance_P,compactness1,compactness2,sphericalDisproportion,sphericity,area,surfaceArea,surfaceVolumeRatio,volume,diameter,energy0_N,entropy0_N,inertia0_N,homogeneity0_N,correlation0_N,shade0_N,promenance0_N,variance0_N,idm0_N,energy135_N,entropy135_N,inertia135_N,homogeneity135_N,correlation135_N,shade135_N,promenance135_N,variance135_N,idm135_N,energy45_N,entropy45_N,inertia45_N,homogeneity45_N,correlation45_N,shade45_N,promenance45_N,variance45_N,idm45_N,energy90_N,entropy90_N,inertia90_N,homogeneity90_N,correlation90_N,shade90_N,promenance90_N,variance90_N,idm90_N,energy0_P,entropy0_P,inertia0_P,homogeneity0_P,correlation0_P,shade0_P,promenance0_P,variance0_P,idm0_P,energy135_P,entropy135_P,inertia135_P,homogeneity135_P,correlation135_P,shade135_P,promenance135_P,variance135_P,idm135_P,energy45_P,entropy45_P,inertia45_P,homogeneity45_P,correlation45_P,shade45_P,promenance45_P,variance45_P,idm45_P,energy90_P,entropy90_P,inertia90_P,homogeneity90_P,correlation90_P,shade90_P,promenance90_P,variance90_P,idm90_P,differenceends,sumvalues,sumsquares,sumlogs,amean,gmean,pvariance,svariance,sd,kurtosis,skewness,scm,diameter_mm,class
261967347,6.9680326859998,-0.879991167305448,255,197.270113136391,41.4735151391735,217,78,177,202.888997139511,-0.702332018390782,47.4215245036636,0.011282676636849,2248.80098625157,283052037,5.41573778962508,2.79301913582892,156,92.5496039113753,10.2040205045354,88,62,94,93.5888999538863,1.66251986351837,13.9089538392823,0.032513477313497,193.458996903286,8980.48769612141,27.8123681316686,0.330055780761969,0.000990099009901,1010,3060.08880580218,0.063452175278781,15917.5,45.8039299623952,1525186208,-12473045.2909329,368254,909557.927772228,0.124999999998746,-2.59682709695523E+021,7.34657166181503E+026,2.29478159424657E+015,1514.75043860199,3042467770,-38635000.4613243,1120126,2725100.971226,0.080301023827232,-1.4027968725954E+023,1.18874187784842E+029,4.15123003276727E+016,4594.78222077751,2847562912,-78962612.1795745,2272900,5446388.1717588,0.055287346041038,-1.69590134434942E+024,2.86377827507544E+030,2.52380491167002E+017,9157.12439129847,4601438776,-135870506.831749,3532866,9208097.53389667,0.04123382482829,-1.11565699792782E+025,3.15293432879028E+031,9.92235831683858E+017,15843.9912436306,1712863772,-12229597.7673802,393184,898285.307142857,0.1249999999997,-2.44562984134937E+022,1.4611057174933E+028,1.0233868174975E+016,8481.09127857214,2227182194,-37898737.2103112,1218316,2690212.64126984,0.080301023827501,-1.32112064668322E+024,2.36420147382277E+030,1.85129343153178E+017,25302.0062580324,2896843170,-77484308.2909117,2480876,5375477.67619048,0.055287346041107,-1.59715944950402E+025,5.69555842614379E+031,1.12552265680155E+018,50529.1991114761,5987113194,-133383823.172545,3966072,9093470.6031746,0.041372997993325,-1.07840718369576E+026,6.49383250071742E+032,4.50144103017499E+018,82788.5392846183,115,208945,22504385,9743.28050494128,96.7786012042621,91.1828929300888,1057.42481305032,1057.91481528065,32.5256024583812,-1.42645534944566,0.175968367812948,2282980.17137563,31.640625,1
8557309,6.7865237538165,-1.161313773435,229,150.225071225071,36.9168919083449,139,82,147,156.140314207439,0.357081423379361,42.6310155159772,0.010300241069472,1817.40348392348,18570877,5.16025785796884,3.95772718804768,149,87.6120471777591,8.87241167122902,84,71,78,88.4455220022913,1.8388707622813,12.1161622937154,0.038201337289891,146.80138872765,489.434463727679,32.3857591081489,0.313724647214488,0.007246376811594,138,439.876181948981,0.159077809798271,867.5,18.0277563773199,-636338838,-5056300.24374374,34268,392586.293134643,0.249999999647359,-1.35024785373585E+017,1.50093171453782E+021,3036729214891.5,41.4205332436866,-1320374100,-15691388.6233046,106892,1176194.84087024,0.160602058624003,-7.31089061319463E+018,2.43052905648801E+023,55313732743289.9,121.103053027177,-1414094454,-32109952.0017921,212748,2350883.36689977,0.110574699069602,-8.90964828143579E+019,5.88123798250491E+024,340942492612275,240.981536397152,278428762,-56442933.2625822,326736,4047446.07020202,0.085154035484822,-6.27947229863798E+020,6.96448583185252E+025,1.43045873613714E+015,510.99927840246,1243428396,-5033561.26592731,29072,391671.124603175,0.249999999970354,-4.32847411396291E+018,1.52846689511457E+023,30644576321675.5,725.830149479245,-641544550,-15622312.4968596,92332,1173353.94285714,0.160602058667987,-2.34364386881108E+020,2.47511810676496E+025,558188034048186,2124.40488255743,-1438958116,-31970761.2451926,189672,2345023.24047619,0.11057469907928,-2.85615579411205E+021,5.98913170979963E+026,3440556445992945,4227.2798811586,-3082911522,-56202975.1904203,304420,4037902.40952381,0.085834405801027,-2.14314082038424E+022,7.71952166876742E+027,1.50352086128517E+016,6908.16091374816,98,37616,3408668,1987.27991964036,82.6725274725273,78.857953340195,656.831223282212,658.277988091204,25.6569286566261,-0.76285362820742,0.534013135026241,298858.206593406,14.765616,0
27432248,6.68035772958991,-1.4215568382862,231,168.31981981982,45.7036259232208,184,72,159,175.76168857624,-0.373043895626619,50.6309810994478,0.015397999350702,2563.49624709264,60210476,4.95712842237206,4.55669879774637,148,87.3559453185452,8.08744825488463,84,70,78,88.1197247564525,2.0691487599584,11.5776506889527,0.046874156957871,134.041995475406,1260.2584822498,56.7814037225732,0.260174437979665,0.004651162790698,215,826.368653544682,0.096250699496363,2233.75,19.0262975904404,398364818,-12572956.1900955,70676,916043.434998335,0.124999999984265,-4.91049138113831E+018,1.71788443566885E+023,35091018231834,143.595448973409,1722857854,-38935231.530163,213016,2744534.9038406,0.080301023824677,-2.65263018497426E+020,2.77969270314886E+025,634791951675047,426.894642517821,54863074,-79563721.9169995,437800,5485412.5936508,0.055287346040414,-3.2068784754439E+021,6.69651143015518E+026,3.85931647438612E+015,850.906878789222,1338378142,-136875912.062747,684708,9269944.85061606,0.041157217912527,-2.0799113265529E+022,7.23329347263122E+027,1.50318122874647E+016,1548.8662927703,-461148542,-12488492.5134375,76018,912774.007142857,0.124999999998881,-2.88988334621261E+020,3.93249117468983E+025,530924634310055,2255.70678414711,652649714,-38678487.3835809,245090,2734159.19444444,0.080301023827275,-1.56110482871606E+022,6.36312712812926E+027,9.60435752422184E+015,6714.15496871247,784923528,-79046876.3973793,510488,5464146.61428572,0.055287346041049,-1.88728662675318E+023,1.53293036703694E+029,5.83911864718839E+016,13400.1424104917,2705040816,-136001531.990827,844982,9234819.55079365,0.041362931172346,-1.27189224719662E+024,1.74334247441453E+030,2.33240365183653E+017,22015.0599825422,106,74104,6950226,3912.54180307874,82.2463928967815,76.8952212822081,949.433186211891,950.488111974349,30.8299872198214,-1.11981531583823,0.604951145313777,855439.300776914,15.585928,0
2768485,5.15932026285028,-1.4086774268392,255,176.20987654321,49.6354214296601,167,87,168,184.87516642452,0.150461807824346,56.2851481408246,0.050754458161866,3168.01790123457,5827674,5.36296399549779,3.41916746746984,163,102.538461538462,9.15215553677093,100,78,85,103.312127092591,1.45462448719724,12.6313787452099,0.030571992110454,159.55172900494,56.0663398650583,104.891093820235,0.212041301817076,0.045454545454546,22,103.753371685008,0.221383647798742,99.375,7.61577310586391,-117941542,-5063555.61357517,6438,393126.480161505,0.249999998861916,-1.89646234105069E+015,5.08629936990069E+018,176777320268.25,8.28607066023806,1270652374,-15713165.5369776,24706,1177808.36124154,0.160602058443803,-1.02683578309703E+017,8.23648218708432E+020,3219981961689.56,21.7022572514465,1478877212,-32153270.814532,53724,2354046.9293734,0.110574699026781,-1.25138592786762E+018,1.99301100198018E+022,19847307710551.6,44.6623781981217,3167368278,-56514596.0806953,93578,4052377.63128815,0.085579929162043,-9.17043190962387E+018,2.4879636450042E+023,85409291057926.2,78.0099344166139,-697466356,-5056872.5186242,6780,392910.401731602,0.24999999991225,-9.57308158708624E+016,9.48881442182949E+020,2414524283155,158.820409459841,-1738322906,-15692286.1570588,26048,1177061.23860029,0.160602058649164,-5.18332632705908E+018,1.53656818974433E+023,43980329367114.8,461.003148527767,-2794034940,-32110676.9174503,58308,2352423.06139971,0.11057469907447,-6.31682471485556E+019,3.71808894048676E+024,271085721007316,928.732162668364,-4137634640,-56440796.863398,104204,4049585.2525974,0.085714523287643,-4.68721664678498E+020,4.72044225236449E+025,1176067849597173,1511.26729177318,128,29107,3390053,1255.86056641884,107.405904059041,102.942628871975,973.39243746681,976.997594642613,31.2569607390516,-0.753804047082023,0.420814133714506,263789.350553505,5.755862,0
2144522,5.92196295844154,-1.28866399087995,221,154.833333333333,34.5436507936508,153.5,92,129,159.781174765752,-0.014568259554648,39.6915314731333,0.018424036281179,1575.41767068273,2962960,5.35218132810956,2.16732831922682,153,96.1025641025641,11.6683103221565,91.5,73,80,97.4508423086567,1.61213554277522,16.1803260660468,0.03219510190664,261.802951603595,116.364101606725,60.5110823532707,0.254715296326509,0.023255813953488,43,168.815931434601,0.208484848484848,206.25,9.4339811320566,-31442294,-1543113.10541596,6010,130985.425102675,0.499999980914316,-244042343347951,3.78262834091239E+017,39361963211.5,13.5349350269106,-416775010,-4804240.48203708,15198,392463.692146742,0.321204192444981,-1.32747666546212E+016,6.13492437546E+019,726819625528.75,46.5006532764719,-1503276954,-9851260.70427828,33448,784394.272410923,0.221149446628589,-1.64367971360762E+017,1.49756723001745E+021,4603484773023.88,87.8318976666477,-619857300,-18592304.75906,57242,1437336.62282162,0.191922199206049,-1.7012437646508E+018,2.83537336965822E+022,26041638331319.4,169.457960142982,-85851458,-1541425.90387746,2034,130970.131746032,0.499999998699223,-2700455476632929,9.32730272358286E+018,195460042972.5,55.9336381343268,-712428076,-4798676.01445174,7970,392343.237301587,0.32120419408687,-1.46892219096868E+017,1.51276593477839E+021,3609174759203.25,164.859762510552,-2318647982,-9840179.34194128,16248,784179.436507937,0.221149447055456,-1.81881739043374E+018,3.69274113495706E+022,22859565953176.1,321.071555970494,-2937260462,-18571670.3134232,30430,1436923.98968254,0.191922199318594,-1.88251502404743E+019,6.99153916748539E+023,129315199118185,563.956769045837,86,14202,1461118,669.62936930678,95.9594594594595,92.2518895452635,664.201059167276,668.719433719434,25.8596100844432,-1.43586304903545,-0.143542431647457,98301.7567567569,5.312496,0
70175309,6.38594280770902,2.71041428725835,255,215.518874399451,30.1940703271876,229,60,195,219.463545422444,-1.73536534551415,41.4371937274579,0.02403232636895,1717.04102400687,137470204,6.16747797006452,0.147978900481344,167,90.77482428115,18.5152491094113,87,60,107,93.7232020059558,0.80217120186089,23.3239068694519,0.02062613275628,544.004631654865,2059.99721692875,89.3456484278284,0.223687748553541,0.003898635477583,256.5,1146.68774512076,0.070249914412872,3651.25,26.4764045897475,-1380596454,-20409185.3535615,231016,1439616.3699051,0.083333333327905,-4.14588972891762E+019,2.90792504101016E+024,147772048853554,408.062254979594,-596319536,-63136787.8153568,694064,4313185.46768787,0.053534014882491,-2.23786583871996E+021,4.7040696623092E+026,2667018557651768,1249.19164275265,1032569928,-128932088.932036,1414896,8620634.35410424,0.036858230057656,-2.69819387936762E+022,1.13157964407612E+028,1.61400903207206E+016,2459.38672543772,91536498,-220448609.166303,2235936,14493324.9966395,0.027266361529064,-1.75229964727785E+023,1.23192438985647E+029,6.25366682007528E+016,4126.64553849605,1034018716,-20178258.3934215,294690,1424975.67568543,0.083333333332946,-3.13452979390621E+021,9.29657008727775E+026,2.6421779583486E+015,5438.37450863924,1530496050,-62441127.8867759,898970,4268879.78665224,0.053534014883258,-1.69195458847243E+023,1.50388035259331E+029,4.7686539529622E+016,16257.1309262494,2391476628,-127536561.998438,1825340,8531381.96897548,0.036858230057838,-2.03998891981731E+024,3.61763433891074E+030,2.88586314069113E+017,32317.2934629712,3811615228,-218104261.429764,3012318,14345136.5659452,0.027283657670356,-1.33132809330726E+025,3.96431209635698E+031,1.12177767651631E+018,55075.6681736421,175,127499,15327911,-9.22337203685478,101.999200000001,0,1858.49199935998,1859.97998334666,43.1274852425533,-0.360938488814436,-0.68371678253142,2323114.9992,20.3125,1
2685533,6.0227717879863,-1.26988391738689,227,156.421568627451,37.6145713187236,151,87,140,162.261378343587,0.104939899396141,43.3529005446447,0.017301038062284,1879.47398563386,4122720,4.93695554330941,2.42348442762099,140,96.815668202765,8.36123086071056,93,82,58,97.4646337843101,1.64797546783389,11.2415483733163,0.043778801843318,126.37240982961,72.2867903920563,21.0688143982927,0.362065074732337,0.02247191011236,44.5,122.906082650743,0.347317073170732,128.125,9.4339811320566,-99577686,-3268365.3103143,6506,262007.83958264,0.333333331183161,-1865233041155014,5.17413710611006E+018,168100222508.333,13.6406583170973,-1561437848,-10154029.7300236,18638,785017.713314463,0.214136090751251,-1.01148364257844E+017,8.38306184490708E+020,3075942908026.11,52.4217015528667,-1393043212,-20793037.5424105,41544,1568984.13424908,0.147432940186225,-1.23925095384997E+018,2.03443443967715E+022,19132974711326.4,100.059551563674,-3183441648,-37221368.932767,70798,2744489.58219003,0.117398764758602,-9.75228959862811E+018,2.75507663917697E+023,87520437230828.5,179.984148094951,-317256382,-3265207.49919181,4128,261974.281746032,0.333333333060933,-2.09058981501004E+016,1.29783323134465E+020,841896651072,90.2752651926557,1592497186,-10143933.7977645,14516,784829.111111111,0.214136091016379,-1.13369078227833E+018,2.10273077306976E+022,15405250767594.7,266.724361123698,-315271046,-20772535.3310959,31324,1568550.98412698,0.147432940254711,-1.38897687632524E+019,5.1029898416375E+023,95823714148878.2,534.880958752637,1676352900,-37184712.840652,55540,2743668.51984127,0.118079056713133,-1.14610713835564E+020,7.3698795204146E+024,451946245416854,907.04217057815,110,20281,2131933,944.016335465685,97.5048076923077,93.5541183145222,742.490361501479,746.077271460423,27.314415085453,-1.2180434065511,0.070456752353234,154437.995192308,6.25,0
2563206,6.1844406604929,-1.19587925201982,226,152.980392156863,35.882737408689,154,81,145,158.52277624441,0.019760276934743,41.7560051748431,0.01518646674356,1743.56396816152,6220119,4.88507619566921,0.524710231656802,124,93.9842632331903,6.42879159068441,93,78,46,94.3323728447642,0.824992598718523,8.10239156879297,0.03986279193043,65.6487491340474,72.6394088817736,49.8669065273001,0.271683037460718,0.029850746268657,33.5,123.305452976039,0.260194174757282,128.75,8.06225774829855,-168249632,-5062758.99921632,7798,393058.131618382,0.249999998947923,-2844349907516106,8.73213238694083E+018,231625168139.25,17.7343631443252,1019509470,-15710802.6020331,27118,1177612.89431679,0.160602058496177,-1.540067654466E+017,1.41403503460828E+021,4219030280663.31,43.7376118772274,818488212,-32148750.0255486,56204,2353703.14192474,0.110574699040367,-1.87685219501044E+018,3.42159106852117E+022,26005236446096.1,87.834441941735,1759858656,-56507317.5747194,93330,4051863.62263847,0.08542165609284,-1.355496460773E+019,4.18792189609901E+023,110853420218218,162.433844976391,-927870018,-5055041.19461568,7578,392865.357142857,0.249999999928905,-1.5511388095353E+017,1.80583122172809E+021,3330919832412.75,151.86989123381,-2935468368,-15686606.4060854,29306,1176852.60714286,0.160602058654593,-8.3986108030972E+018,2.92426714080524E+023,60672386872574.7,464.051901058725,-1783060482,-32099629.0826417,62680,2352034.13809524,0.110574699075989,-1.02352329283575E+020,7.07595366851103E+024,373972136598226,934.221293786163,-2955145682,-56422515.0315063,108994,4048954.02142857,0.085676532350325,-7.56800620343568E+020,8.94077144325727E+025,1.61870854127389E+015,1560.55972286257,89,27064,2662982,1321.97051223664,91.7423728813559,88.3455627254212,610.394645216892,612.470817479534,24.7481477585603,-1.16593084349426,0.153060553013294,180066.420338983,6.25,0
6719811,6.64235201580359,-1.28868852573109,244,169.631818181818,37.1284710743802,169,93,151,174.77012174438,-0.015813673408225,42.1630438968977,0.011652892561984,1777.72227065172,16472262,4.79540498514259,1.28303323458074,127,97.8049065420561,5.72586989038345,96,78,49,98.0900013481801,0.990937182684771,7.47537702792001,0.044471678749236,55.8812617095543,155.50475396535,59.3761011528471,0.25632803468065,0.019047619047619,52.5,204.815677166986,0.190476190476191,275.625,10.816653826392,-673440518,-8770878.62141124,20746,655031.467055167,0.166666666516764,-6.45078517670059E+016,5.41220056245253E+020,1922167752361.17,56.7643122375534,-1544307148,-27182169.2811473,68342,1962459.41043956,0.107068033947979,-3.48738230800501E+018,8.75969611035562E+022,34851874687415.9,141.389912037091,-2145572590,-55574677.0806871,143256,3922286.24131424,0.073716462781746,-4.22736198582234E+019,2.11339384507844E+024,212862678840194,259.072737593716,-3005290362,-96232892.9267583,232634,6665147.97284937,0.055478067731672,-2.82442372812219E+020,2.36072828980024E+025,850820218503302,434.677440290924,164560344,-8750250.96797299,20544,654272.738095238,0.166666666656849,-3.79261115563713E+018,1.23729957730713E+023,29063089589050.7,570.340149149622,2178090560,-27118494.680301,75060,1959896.01190476,0.107068033971136,-2.05033725205029E+020,2.00258071479288E+025,526958772583765,1705.10000211364,3484677502,-55445737.2206264,162620,3916912.9952381,0.073716462787179,-2.4853936272431E+021,4.83149382123217E+026,3.21847409963725E+015,3380.30967395965,3131536352,-96012133.4021426,284608,6655943.37142858,0.055717600136302,-1.71677351540169E+022,5.6444293860424E+027,1.31480531230494E+016,5556.95119945556,91,47131,4857797,2213.78916812508,96.579918032787,93.3590874471294,626.821481960494,628.108589726327,25.062094679542,-1.18742358283875,0.288719702714187,305888.883196721,8.78906,0
3469135,6.31957724517822,-0.739173669376974,232,147.859060402685,32.1326066393406,140,92,140,152.586975967477,0.586006177951831,37.8164164506005,0.014098464033152,1430.08135316525,9382188,5.15462112677562,1.59749633628974,142,95.5695952615992,8.84665781172487,92,78,64,96.2381670525307,1.32890243121652,11.3297826909507,0.036447212885987,128.363975824167,101.201506548879,71.840778419832,0.24055237930059,0.027027027027027,37,153.812654472918,0.206271777003484,179.375,10.6301458127347,-356396156,-6900609.55865286,12386,524031.136718837,0.199999999536233,-9.64455294487523E+015,4.35354298646578E+019,534147719157,21.0793794724345,-1812651308,-21397960.3582722,41306,1570017.87655123,0.128481643010699,-5.21719541867904E+017,7.04770734666683E+021,9702734168191.8,53.0540928850383,-800450296,-43764774.2181381,85312,3137979.89585969,0.088459756798842,-6.3377686143084E+018,1.7023556249188E+023,59478453813298.6,105.713045821833,-2365704962,-76212527.8924413,138862,5358510.87418138,0.067330495134219,-4.40823337493656E+019,1.99693315639144E+024,245366374728497,205.73845326911,-1762294314,-6889903.02220261,8254,523831.087301587,0.199999999979423,-5.61390160287013E+017,9.82094076636414E+021,8022625325501.4,248.180708823037,-437312172,-21364826.1055641,32218,1569286.94444444,0.128481643075524,-3.03682527792976E+019,1.5898572439117E+024,145730101518405,702.75129007753,245310776,-43697400.411633,71016,3136335.76587302,0.088459756813311,-3.68908856520594E+020,3.84025938728883E+025,893335936813143,1393.13852119025,1716732476,-76095793.7328343,126578,5355540.23412698,0.067612638012664,-2.65148007485122E+021,4.70856729460431E+026,3765060654304607,2304.70439198595,86,33776,3206798,1695.47406059923,88.6509186351707,85.6323516154225,557.807276058997,559.275189943362,23.6489997662346,-0.830345174614381,0.513996113705004,212524.572178477,7.031248,0
